Voltage (V), Current (I)
2.0,0.01
9.0,0.01
10.0,0.02
11.0,0.04
12.0,0.07
13.0,0.08
14.0,0.09
15.0,0.09
16.0,0.10
17.0,0.09
18.0,0.08
19.0,0.06
20.0,0.04
21.0,0.03
22.0,0.03
23.0,0.04
24.0,0.07
25.0,0.10
26.0,0.12
27.0,0.12
28.0,0.12
29.0,0.10
30.0,0.07
31.0,0.05
32.0,0.03
33.0,0.02
34.0,0.03
35.0,0.06
36.0,0.10
37.0,0.13
38.0,0.14
39.0,0.14
40.0,0.13
41.0,0.11
42.0,0.08
43.0,0.05
44.0,0.03
45.0,0.02
46.0,0.04
47.0,0.08
48.0,0.12
49.0,0.14
50.0,0.16
51.0,0.16
52.0,0.15
53.0,0.12
54.0,0.09
55.0,0.06
56.0,0.04
57.0,0.03
58.0,0.05
59.0,0.08
60.0,0.12
61.0,0.14
62.0,0.16
63.0,0.17
64.0,0.16
65.0,0.15
66.0,0.12
67.0,0.10
68.0,0.07
69.0,0.06
70.0,0.07
71.0,0.09
72.0,0.12
73.0,0.14
74.0,0.16
75.0,0.17
76.0,0.18
77.0,0.17
78.0,0.16
79.0,0.14
80.0,0.12
81.0,0.11
82.0,0.10
83.0,0.11
84.0,0.13
85.0,0.15
86.0,0.16
87.0,0.18
88.0,0.19
89.0,0.19
90.0,0.19
91.0,0.18
